Rainfall - (MM), Year, Statistics, Country, ISO3
11.8792, 1991, Jan Average, India, IND
12.3276, 1991, Feb Average, India, IND
13.4113, 1991, Mar Average, India, IND
41.9814, 1991, Apr Average, India, IND
55.3486, 1991, May Average, India, IND
175.103, 1991, Jun Average, India, IND
221.356, 1991, Jul Average, India, IND
246.72, 1991, Aug Average, India, IND
131.845, 1991, Sep Average, India, IND
58.2944, 1991, Oct Average, India, IND
37.7129, 1991, Nov Average, India, IND
11.6599, 1991, Dec Average, India, IND
13.3135, 1992, Jan Average, India, IND
14.8104, 1992, Feb Average, India, IND
10.5157, 1992, Mar Average, India, IND
14.0558, 1992, Apr Average, India, IND
48.2371, 1992, May Average, India, IND
94.4788, 1992, Jun Average, India, IND
213.227, 1992, Jul Average, India, IND
247.15, 1992, Aug Average, India, IND
163.742, 1992, Sep Average, India, IND
56.6009, 1992, Oct Average, India, IND
36.839, 1992, Nov Average, India, IND
3.47422, 1992, Dec Average, India, IND
7.08936, 1993, Jan Average, India, IND
13.8096, 1993, Feb Average, India, IND
22.6534, 1993, Mar Average, India, IND
22.8153, 1993, Apr Average, India, IND
59.0899, 1993, May Average, India, IND
149.555, 1993, Jun Average, India, IND
243.939, 1993, Jul Average, India, IND
180.132, 1993, Aug Average, India, IND
195.789, 1993, Sep Average, India, IND
74.8534, 1993, Oct Average, India, IND
22.3395, 1993, Nov Average, India, IND
13.1382, 1993, Dec Average, India, IND
20.7536, 1994, Jan Average, India, IND
17.6468, 1994, Feb Average, India, IND
13.4268, 1994, Mar Average, India, IND
34.6886, 1994, Apr Average, India, IND
46.0465, 1994, May Average, India, IND
170.217, 1994, Jun Average, India, IND
320.451, 1994, Jul Average, India, IND
264.373, 1994, Aug Average, India, IND
135.528, 1994, Sep Average, India, IND
83.6267, 1994, Oct Average, India, IND
24.4985, 1994, Nov Average, India, IND
5.48352, 1994, Dec Average, India, IND
24.915, 1995, Jan Average, India, IND
16.8758, 1995, Feb Average, India, IND
21.114, 1995, Mar Average, India, IND
20.2405, 1995, Apr Average, India, IND
48.1721, 1995, May Average, India, IND
127.382, 1995, Jun Average, India, IND
286.934, 1995, Jul Average, India, IND
247.981, 1995, Aug Average, India, IND
176.858, 1995, Sep Average, India, IND
75.5371, 1995, Oct Average, India, IND
27.4295, 1995, Nov Average, India, IND
3.98088, 1995, Dec Average, India, IND
16.6447, 1996, Jan Average, India, IND
13.0873, 1996, Feb Average, India, IND
16.1319, 1996, Mar Average, India, IND
34.9378, 1996, Apr Average, India, IND
45.8161, 1996, May Average, India, IND
169.76, 1996, Jun Average, India, IND
233.514, 1996, Jul Average, India, IND
253.446, 1996, Aug Average, India, IND
135.761, 1996, Sep Average, India, IND
97.1727, 1996, Oct Average, India, IND
12.9886, 1996, Nov Average, India, IND
8.436, 1996, Dec Average, India, IND
9.97814, 1997, Jan Average, India, IND
4.25303, 1997, Feb Average, India, IND
16.5465, 1997, Mar Average, India, IND
41.4989, 1997, Apr Average, India, IND
41.206, 1997, May Average, India, IND
147.688, 1997, Jun Average, India, IND
211.289, 1997, Jul Average, India, IND
274.543, 1997, Aug Average, India, IND
150.846, 1997, Sep Average, India, IND
59.2649, 1997, Oct Average, India, IND
58.778, 1997, Nov Average, India, IND
35.0635, 1997, Dec Average, India, IND
7.13527, 1998, Jan Average, India, IND
18.4381, 1998, Feb Average, India, IND
25.6106, 1998, Mar Average, India, IND
37.7973, 1998, Apr Average, India, IND
52.342, 1998, May Average, India, IND
133.287, 1998, Jun Average, India, IND
267.058, 1998, Jul Average, India, IND
244.708, 1998, Aug Average, India, IND
183.634, 1998, Sep Average, India, IND
103.845, 1998, Oct Average, India, IND
42.693, 1998, Nov Average, India, IND
11.2335, 1998, Dec Average, India, IND
9.27938, 1999, Jan Average, India, IND
12.4133, 1999, Feb Average, India, IND
3.69573, 1999, Mar Average, India, IND
16.1964, 1999, Apr Average, India, IND
70.4075, 1999, May Average, India, IND
139.2, 1999, Jun Average, India, IND
247.489, 1999, Jul Average, India, IND
206.223, 1999, Aug Average, India, IND
177.704, 1999, Sep Average, India, IND
101.431, 1999, Oct Average, India, IND
13.1463, 1999, Nov Average, India, IND
4.0199, 1999, Dec Average, India, IND
8.59847, 2000, Jan Average, India, IND
18.9029, 2000, Feb Average, India, IND
10.2599, 2000, Mar Average, India, IND
30.2531, 2000, Apr Average, India, IND
72.1259, 2000, May Average, India, IND
168.978, 2000, Jun Average, India, IND
251.857, 2000, Jul Average, India, IND
225.712, 2000, Aug Average, India, IND
125.34, 2000, Sep Average, India, IND
42.3882, 2000, Oct Average, India, IND
13.011, 2000, Nov Average, India, IND
6.28185, 2000, Dec Average, India, IND
